Quick sort;Insert sort;Size
0.00016548;7.643e-05;2;
0.0002695;9.548e-05;3;
0.00039484;0.00012521;4;
0.00052867;0.00016456;5;
0.00067045;0.00021348;6;
0.00082444;0.00027125;7;
0.0009806;0.00033453;8;
0.00114219;0.00040861;9;
0.00131785;0.00049425;10;
0.0014846;0.00059044;11;
0.00167327;0.00067335;12;
0.00186362;0.00076341;13;
0.00203314;0.00085837;14;
0.00223001;0.00096952;15;
0.00243254;0.00108143;16;
0.00264506;0.00121039;17;
0.00283762;0.00133645;18;
0.00303801;0.00147705;19;
0.00325563;0.00162431;20;
0.00347469;0.00178165;21;
0.003686;0.00194713;22;
0.00355173;0.00212129;23;
0.00376268;0.00229182;24;
0.00395215;0.00247896;25;
0.00415087;0.00267422;26;
0.00434176;0.00286533;27;
0.00452116;0.00308138;28;
0.00471732;0.00329359;29;
0.00490633;0.00350652;30;
0.00508895;0.00373911;31;
0.00528202;0.00396995;32;
0.00545869;0.00420299;33;
0.00566212;0.0044529;34;
0.00582669;0.00472476;35;
0.00601984;0.00498845;36;
0.00621006;0.00526262;37;
0.00639796;0.00553502;38;
0.00659852;0.00581448;39;
0.0067864;0.0061114;40;
0.00699402;0.00641576;41;
0.00717488;0.00672703;42;
0.00736806;0.00704511;43;
0.00754214;0.00736555;44;
0.00773888;0.007706;45;
0.00792763;0.00803531;46;*
0.00812269;0.00838596;47;*
0.00831493;0.00874765;48;*
0.00851834;0.00910821;49;*
0.00871502;0.00946222;50;*
0.00889099;0.00982392;51;*
0.00906924;0.0102056;52;*
0.00928563;0.0105855;53;*
0.00948582;0.0109841;54;*
0.00967532;0.0113885;55;*
0.00988186;0.0117875;56;*
0.0100965;0.012208;57;*
0.0102594;0.0126343;58;*
0.0104771;0.0130586;59;*
0.0106681;0.013488;60;*
0.0108532;0.0139193;61;*
0.011048;0.0143843;62;*
0.0112725;0.0148442;63;*
0.011473;0.015324;64;*
0.0116487;0.0157836;65;*
0.0118545;0.0162694;66;*
0.0120514;0.0168089;67;*
0.0122655;0.0172806;68;*
0.0124814;0.0177593;69;*
0.0126373;0.01825;70;*
0.0128504;0.0187732;71;*
0.0130871;0.0192987;72;*
0.013264;0.0198595;73;*
0.0134748;0.020414;74;*
0.0136604;0.0209219;75;*
0.0138789;0.021464;76;*
0.0140848;0.0220605;77;*
0.0142594;0.0225847;78;*
0.0144927;0.0231725;79;*
0.0146825;0.0237783;80;*
0.0148812;0.024364;81;*
0.0150865;0.0249106;82;*
0.0153211;0.0255505;83;*
0.0155056;0.0261556;84;*
0.0157067;0.026749;85;*
0.0159169;0.0273912;86;*
0.0161274;0.0279811;87;*
0.0163292;0.028657;88;*
0.016557;0.0293096;89;*
0.0167392;0.0300137;90;*
0.0169447;0.030623;91;*
0.0171692;0.0312666;92;*
0.0173469;0.031944;93;*
0.0175608;0.0326042;94;*
0.0177839;0.0333305;95;*
0.017981;0.0340054;96;*
0.0182236;0.0348;97;*
0.018464;0.0354889;98;*
0.0186109;0.0361923;99;*
0.0188101;0.037117;100;*
0.0190306;0.0376699;101;*
